date,theme_name,grade,avg_rsi,total_trade_value,avg_disparity_20,total_sm_flow,avg_macd_hist,vol_ma20,volume_spike,prev_macd_hist,macd_improving,next_grade,target
2025-01-22,건강기능식품,6등급,45.70307692307692,14655957635.0,99.11702148685555,0.0,-1.9315384615384614,26287405616.45,0.5575277320569311,7.203076923076923,0,6등급,0
2025-01-23,건강기능식품,6등급,42.92307692307692,22079617425.0,97.96087443415956,0.0,-15.443846153846154,24616123202.2,0.8969575445993336,-1.9315384615384614,0,6등급,0
2025-02-07,건강기능식품,6등급,46.24846153846154,44414555797.0,99.24384806123281,0.0,64.79846153846154,28309643741.2,1.5688843068117444,80.03692307692307,0,6등급,0
2025-02-12,건강기능식품,6등급,47.21,22132316745.0,99.62820038117326,0.0,29.206153846153846,28534667688.05,0.775629034371715,50.574615384615385,0,6등급,0
2025-02-18,건강기능식품,6등급,51.82,37332893105.0,101.04161141059753,0.0,8.536153846153846,27279846485.7,1.3685155128922655,19.610769230769233,0,6등급,0
2025-02-19,건강기능식품,6등급,52.75153846153846,30657368430.0,101.08925444019815,0.0,3.89,27905842225.45,1.0986003641216253,8.536153846153846,0,6등급,0
2025-03-28,건강기능식품,6등급,46.988461538461536,38286947600.0,99.26192764961465,0.0,61.503076923076925,40482298126.05,0.9457701111924445,74.35230769230769,0,6등급,0
2025-03-31,건강기능식품,6등급,42.488461538461536,55734411460.0,97.6317082300191,0.0,33.09615384615385,39538678264.3,1.4096174659010627,61.503076923076925,0,6등급,0
2025-04-01,건강기능식품,6등급,46.98461538461538,27555993205.0,99.23712144882376,0.0,29.72923076923077,36429842610.55,0.7564126339930946,33.09615384615385,0,6등급,0
2025-04-02,건강기능식품,6등급,46.847692307692306,25076934030.0,99.1406153852872,0.0,25.32923076923077,35808876852.55,0.7002993736234493,29.72923076923077,0,6등급,0
2025-04-03,건강기능식품,6등급,47.573846153846155,43403043450.0,99.22594710218945,0.0,24.037692307692307,35038943690.05,1.2387086732390609,25.32923076923077,0,2등급,1
2025-04-09,건강기능식품,6등급,40.79769230769231,40084983520.0,96.04958007419938,0.0,-17.946923076923078,37478212077.8,1.0695543169665798,3.7761538461538464,0,6등급,0
2025-04-10,건강기능식품,6등급,48.25153846153846,54770998020.0,98.64297786808969,0.0,3.836923076923077,37970397558.3,1.442465750744491,-17.946923076923078,1,6등급,0
2025-04-11,건강기능식품,6등급,49.99153846153846,29208252436.0,99.48354379866034,0.0,27.86230769230769,38112880535.0,0.7663617135728521,3.836923076923077,1,6등급,0
2025-04-14,건강기능식품,6등급,52.386923076923075,34960869120.0,100.84448801601533,0.0,56.995384615384616,38439593611.05,0.9095015278712522,27.86230769230769,1,6등급,0
2025-04-15,건강기능식품,6등급,52.956153846153846,28567000895.0,101.06815293023377,0.0,79.03846153846153,36817271267.55,0.7759130405782781,56.995384615384616,1,2등급,1
2025-04-18,건강기능식품,6등급,55.73,14577210180.0,102.30130550056151,0.0,117.07923076923078,36307270193.3,0.40149562614845163,112.61384615384615,1,6등급,0
