date,theme_name,total_cnt,phase1_cnt,phase2_cnt,phase3_cnt,phase4_cnt,avg_trade_value,lag_avg_trade_value,phase1_increase,phase3_increase,trade_value_spike,global_rank,grade,future_grade_d1,future_grade_d2
2026-03-18,금,9,6,0,1,2,11597005318.333334,9416162147.88889,0.0,0.0,1.2316063738275143,91,4등급,4등급,3등급
2026-03-19,금,9,4,2,2,1,24272969107.11111,11597005318.333334,-2.0,1.0,2.0930376800585537,79,4등급,3등급,5등급
2026-03-20,금,9,4,1,4,0,21291185301.444443,24272969107.11111,0.0,2.0,0.8771561982175015,60,3등급,5등급,1등급
2026-03-25,금,9,2,1,5,1,12240014941.11111,20126083091.0,-2.0,2.0,0.6081667697468969,168,6등급,6등급,6등급
2026-03-26,금,9,1,2,3,3,8085267602.555555,12240014941.11111,-1.0,-2.0,0.660560272308099,149,6등급,6등급,6등급
2026-03-27,금,9,1,2,3,3,11311238604.777779,8085267602.555555,0.0,0.0,1.3989937205297411,168,6등급,6등급,1등급
2026-03-30,금,9,1,3,0,5,7811463520.666667,11311238604.777779,0.0,-3.0,0.6905931165988459,166,6등급,1등급,5등급
2026-04-06,금,9,2,1,4,2,5517265918.222222,6905794653.444445,-1.0,-1.0,0.7989328086189679,91,4등급,6등급,4등급
2026-04-07,금,9,2,2,2,3,7548515905.555555,5517265918.222222,0.0,-2.0,1.3681624227363405,148,6등급,4등급,6등급
2026-04-08,금,9,2,0,7,0,73375673346.11111,7548515905.555555,0.0,5.0,9.72054298674897,93,4등급,6등급,4등급
2026-04-09,금,9,1,1,5,2,9363783239.444445,73375673346.11111,-1.0,-2.0,0.12761427340197243,189,6등급,4등급,6등급
2026-04-10,금,9,1,0,8,0,11519848665.222221,9363783239.444445,0.0,3.0,1.2302558026648316,98,4등급,6등급,6등급
2026-04-13,금,9,1,0,4,4,12201096089.777779,11519848665.222221,0.0,-4.0,1.0591368380222046,216,6등급,6등급,5등급
2026-04-14,금,9,0,0,8,1,20302705873.666668,12201096089.777779,-1.0,4.0,1.6640067190911243,148,6등급,5등급,5등급
2026-04-17,금,9,0,0,4,5,17453255831.666668,37993863602.44444,0.0,-4.0,0.4593703871312461,212,6등급,6등급,5등급
2026-04-20,금,9,0,0,4,5,43552165639.44444,17453255831.666668,0.0,0.0,2.495360525250807,148,6등급,5등급,6등급
2026-04-22,금,9,0,1,2,6,13915836150.0,13638492462.222221,0.0,-1.0,1.0203353624710358,159,6등급,2등급,6등급
2026-04-24,금,9,0,1,2,6,13409650173.333334,18383100309.444443,0.0,-2.0,0.7294553120859615,184,6등급,3등급,1등급
2026-04-27,금,9,0,0,5,4,30470271486.666668,13409650173.333334,0.0,3.0,2.272264458267553,65,3등급,1등급,3등급
2026-04-29,금,9,0,0,4,5,15729797333.88889,22049963137.77778,0.0,-2.0,0.7133706861822063,69,3등급,3등급,3등급
2026-04-30,금,9,0,1,3,5,34734308118.333336,15729797333.88889,0.0,-1.0,2.2081853555417643,60,3등급,3등급,1등급
2026-05-04,금,9,1,1,3,4,22012102308.88889,34734308118.333336,1.0,0.0,0.6337279623908946,51,3등급,1등급,5등급
2026-05-08,금,9,1,4,0,4,14322145637.88889,43557949481.111115,1.0,-2.0,0.32880670023504394,180,6등급,6등급,6등급
2026-05-11,금,9,0,6,0,3,12594447041.444445,14322145637.88889,-1.0,0.0,0.8793687314647981,217,6등급,6등급,6등급
2026-05-12,금,9,0,7,0,2,18525511007.444443,12594447041.444445,0.0,0.0,1.4709269050465412,204,6등급,6등급,4등급
2026-05-13,금,9,1,6,1,1,19807599410.77778,18525511007.444443,1.0,1.0,1.0692066417394979,138,6등급,4등급,5등급
2026-05-14,금,9,4,3,1,1,27289092200.88889,19807599410.77778,3.0,0.0,1.3777082035514236,96,4등급,5등급,6등급
2026-05-18,금,9,2,7,0,0,10364450350.333334,18626445912.22222,0.0,0.0,0.5564373578929748,129,6등급,2등급,4등급
2026-05-20,금,9,2,7,0,0,12311645267.777779,23025399840.0,-2.0,0.0,0.5346984353509397,84,4등급,4등급,4등급
2026-05-21,금,9,6,2,1,0,19827976750.0,12311645267.777779,4.0,1.0,1.6105058518778215,89,4등급,4등급,2등급
2026-05-22,금,9,7,0,2,0,19504178372.77778,19827976750.0,1.0,1.0,0.983669620894516,86,4등급,2등급,5등급
2026-05-28,금,9,3,6,0,0,12404138530.222221,14671415499.11111,-1.0,0.0,0.8454629705616166,137,6등급,6등급,6등급
2026-05-29,금,9,2,7,0,0,14786110493.88889,12404138530.222221,-1.0,0.0,1.1920304225773584,159,6등급,6등급,6등급
2026-06-01,금,9,2,7,0,0,12007241966.666666,14786110493.88889,0.0,0.0,0.8120622371670542,136,6등급,6등급,6등급
