stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
079430,현대리바트,대기업,8.75,0.32,755.0,20470.0,1.97
052420,오성첨단소재,일반기업,8.77,0.45,149.0,2915.0,0.0
072990,에이치시티,일반기업,8.82,0.68,498.0,6416.0,2.05
001380,SG글로벌,일반기업,8.85,0.37,140.0,3329.0,0.0
007310,오뚜기,일반기업,8.86,0.59,40048.0,597176.0,2.54
163560,동일고무벨트,일반기업,8.86,0.43,783.0,16290.0,2.16
372910,한컴라이프케어,일반기업,8.87,0.48,266.0,4866.0,0.0
086790,하나금융지주,일반기업,8.9,0.74,12629.0,151798.0,3.2
003850,보령,일반기업,8.93,0.98,1020.0,9343.0,1.1
017890,한국알콜,일반기업,8.93,0.43,1193.0,24818.0,1.03
017940,E1,일반기업,8.94,0.34,10873.0,287645.0,3.55
003200,일신방직,일반기업,8.95,0.29,1319.0,40881.0,1.69
093050,LF,일반기업,8.95,0.42,2694.0,57258.0,2.9
033270,유나이티드,일반기업,8.98,0.72,2209.0,27612.0,2.27
440290,HB인베스트먼트,일반기업,8.98,0.63,226.0,3222.0,9.85
458650,성우,일반기업,8.99,0.86,1394.0,14628.0,1.2
054300,팬스타엔터프라이즈,일반기업,9.06,0.58,54.0,845.0,0.0
002460,HS화성,일반기업,9.06,0.29,1293.0,40576.0,4.27
105760,포스뱅크,일반기업,9.06,0.68,586.0,7803.0,0.0
003070,코오롱글로벌,대기업,9.07,0.36,1228.0,30776.0,3.59
000850,화천기공,일반기업,9.07,0.23,3934.0,153304.0,2.94
011780,금호석유화학,대기업,9.07,0.52,13328.0,232363.0,1.82
377740,바이오노트,일반기업,9.11,0.31,542.0,16138.0,4.05
004560,현대비앤지스틸,대기업,9.13,0.44,1644.0,33980.0,0.67
272550,삼양패키징,일반기업,9.15,0.48,1310.0,24759.0,4.17
071280,로체시스템즈,일반기업,9.17,0.91,812.0,8196.0,0.67
044820,코스맥스비티아이,일반기업,9.23,0.6,1722.0,26341.0,2.83
053980,오상자이엘,일반기업,9.24,0.56,337.0,5514.0,9.63
012630,HDC,대기업,9.25,0.51,2903.0,52784.0,1.3
017250,인터엠,일반기업,9.31,0.53,114.0,1992.0,0.0
129890,앱코,일반기업,9.33,0.77,98.0,1182.0,2.19
000050,경방,일반기업,9.47,0.29,947.0,30489.0,1.67
131760,파인텍,일반기업,9.53,0.73,64.0,841.0,0.0
011320,유니크,일반기업,9.57,0.59,399.0,6448.0,1.18
155650,와이엠씨,일반기업,9.57,0.54,363.0,6459.0,2.16
012700,리드코프,일반기업,9.59,0.22,377.0,16386.0,2.77
009180,한솔로지스틱스,대기업,9.6,0.64,310.0,4615.0,5.04
318000,KBG,일반기업,9.6,0.8,433.0,5163.0,1.81
262840,아이퀘스트,일반기업,9.61,0.75,184.0,2348.0,2.43
067920,이글루,일반기업,9.63,0.78,623.0,7714.0,3.0
065510,휴비츠,일반기업,9.66,0.73,801.0,10624.0,2.58
006360,GS건설,대기업,9.68,0.54,2893.0,51998.0,1.07
004830,덕성,일반기업,9.71,0.72,446.0,6042.0,2.31
039570,HDC랩스,대기업,9.75,0.69,826.0,11586.0,5.59
002790,아모레퍼시픽그룹,대기업,9.76,0.73,2782.0,37167.0,1.22
267850,아시아나IDT,대기업,9.81,0.68,1060.0,15201.0,4.81
282880,코윈테크,일반기업,9.82,0.9,1410.0,15435.0,1.44
053080,케이엔솔,일반기업,9.82,0.72,1048.0,14313.0,2.92
014820,동원시스템즈,대기업,9.82,0.85,2475.0,28545.0,2.47
016610,DB증권,일반기업,9.85,0.47,1233.0,25569.0,3.29
126720,수산인더스트리,일반기업,9.86,0.75,2779.0,36665.0,2.92
007540,샘표,일반기업,9.88,0.52,5325.0,101679.0,0.38
065680,우주일렉트로,일반기업,9.9,0.8,2474.0,30650.0,1.22
034310,NICE,일반기업,9.92,0.62,1349.0,21632.0,3.74
465480,인스피언,일반기업,9.94,0.97,507.0,5194.0,0.0
252500,세화피앤씨,일반기업,9.95,0.8,80.0,996.0,6.28
003680,한성기업,일반기업,9.98,0.42,503.0,12006.0,0.0
