date,wics_name,stock_code,stock_name,total_score,industry_rank,2024-02-01,2024-05-01,2024-08-01,2024-11-01,2025-02-01,3개월,6개월,9개월,12개월
2024-02-01,종이와목재,034810,해성산업,65.72,3,8030.0,7720.0,7660.0,6640.0,5730.0,-3.8605230386052307,-4.60772104607721,-17.31008717310087,-28.6425902864259
2024-02-01,가스유틸리티,003480,한진중공업홀딩스,77.52,1,3225.0,3450.0,3530.0,3425.0,3475.0,6.976744186046512,9.45736434108527,6.2015503875969,7.751937984496124
2024-02-01,가스유틸리티,017390,서울가스,73.54,2,60600.0,56900.0,55700.0,52500.0,48450.0,-6.105610561056106,-8.085808580858085,-13.366336633663368,-20.049504950495052
2024-02-01,가스유틸리티,015360,INVENI,72.48,3,34850.0,39950.0,43100.0,50500.0,50100.0,14.634146341463413,23.672883787661405,44.90674318507891,43.75896700143472
2024-02-01,건강관리기술,035610,솔본,88.63,1,4585.0,4680.0,4115.0,3945.0,4050.0,2.0719738276990185,-10.25081788440567,-13.958560523446021,-11.668484187568156
2024-02-01,건강관리기술,071200,인피니트헬스케어,79.31,2,5320.0,5230.0,4755.0,4275.0,4100.0,-1.6917293233082706,-10.6203007518797,-19.642857142857142,-22.932330827067666
2024-02-01,건강관리기술,032620,유비케어,61.04,3,5000.0,4760.0,4465.0,4540.0,3295.0,-4.8,-10.7,-9.2,-34.1
2024-02-01,전기유틸리티,130660,한전산업,38.02,1,7430.0,7790.0,15640.0,12700.0,11660.0,4.8452220726783315,110.49798115746971,70.92866756393002,56.93135935397039
2024-02-01,도로와철도운송,024800,유성티엔에스,88.83,1,2400.0,2110.0,2075.0,1962.0,1861.0,-12.083333333333334,-13.541666666666666,-18.25,-22.458333333333332
2024-02-01,도로와철도운송,084670,동양고속,60.54,2,12300.0,11480.0,9550.0,8260.0,7140.0,-6.666666666666667,-22.35772357723577,-32.84552845528455,-41.951219512195124
2024-02-01,도로와철도운송,000650,천일고속,39.82,3,54600.0,45800.0,45900.0,39800.0,38550.0,-16.117216117216117,-15.934065934065933,-27.106227106227106,-29.395604395604398
2024-02-01,디스플레이패널,121800,비덴트,11.97,1,3320.0,3320.0,3320.0,3320.0,3320.0,0.0,0.0,0.0,0.0
2024-02-01,무선통신서비스,006490,인스코비,26.5,1,1405.0,1215.0,1009.0,1523.0,1476.0,-13.523131672597867,-28.18505338078292,8.398576512455517,5.05338078291815
2024-02-01,사무용전자제품,029530,신도리코,51.11,1,37300.0,37200.0,37550.0,41800.0,38000.0,-0.2680965147453083,0.6702412868632708,12.064343163538874,1.876675603217158
2024-02-01,우주항공과국방,035460,기산텔레콤,73.55,1,2430.0,2415.0,1957.0,1762.0,1766.0,-0.6172839506172839,-19.465020576131685,-27.48971193415638,-27.325102880658434
