wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
건강관리업체및서비스,357230,에이치피오,6.39,6.0,0,66.66,6.313645621181263,11.608961303462321,1.4256619144602851,-2.0366598778004072
건강관리업체및서비스,353190,휴럼,8.35,3.0,0,59.91,0.7132667617689016,7.703281027104136,-1.5691868758915835,-10.413694721825962
디스플레이장비및부품,108320,LX세미콘,8.68,7.49,1,72.63,22.77777777777778,1.8518518518518516,-6.851851851851852,-8.148148148148149
디스플레이장비및부품,037330,인지디스플레,3.41,3.0,0,61.8,7.301587301587302,11.190476190476192,13.015873015873018,7.142857142857142
디스플레이장비및부품,108230,톱텍,2.68,-4.0,0,60.27,-2.941176470588235,8.235294117647058,7.529411764705881,-2.0
생명과학도구및서비스,199730,바이오인프라,15.49,-13.0,0,58.55,-12.878787878787879,-24.46969696969697,-26.212121212121215,-40.0
생명과학도구및서비스,131220,대한과학,7.96,8.0,0,49.85,15.046296296296296,8.796296296296296,10.416666666666668,4.62962962962963
생명과학도구및서비스,068330,일신바이오,6.68,0.0,0,45.15,73.1041456016178,62.7906976744186,68.85743174924166,42.568250758341755
식품과기본식료품소매,227840,현대코퍼레이션홀딩스,3.14,11.89,0,61.13,32.947976878612714,16.473988439306357,15.992292870905588,15.31791907514451
식품과기본식료품소매,250000,보라티알,7.06,0.0,0,50.52,5.098039215686274,-9.509803921568627,-22.058823529411764,-23.627450980392155
식품과기본식료품소매,311390,네오크레마,0.0,4.0,0,47.46,-21.294964028776977,28.05755395683453,-15.683453237410072,-39.568345323741006
양방향미디어와서비스,376300,디어유,35.28,9.0,1,67.98,54.557124518613605,7.573812580231065,2.952503209242619,-24.133504492939668
양방향미디어와서비스,443250,레뷰코퍼레이션,25.71,11.0,0,44.02,7.225691347011597,0.17841213202497772,-5.976806422836753,-21.76628010704728
양방향미디어와서비스,317530,캐리소프트,0.0,-36.0,0,34.57,-29.056047197640115,-32.30088495575221,-25.51622418879056,-41.3716814159292
인터넷과카탈로그소매,069920,엑시온그룹,0.0,0.0,0,43.31,26.527196652719663,-30.376569037656903,-36.40167364016737,-61.42259414225941
인터넷과카탈로그소매,035080,그래디언트,0.0,-8.0,0,28.39,8.927231807951989,8.627156789197299,-13.80345086271568,-13.12828207051763
인터넷과카탈로그소매,053280,예스24,0.0,-6.0,0,20.73,10.268948655256724,-7.090464547677261,-10.024449877750612,-16.87041564792176
"호텔,레스토랑,레저",035250,강원랜드,9.93,8.11,0,59.88,10.48532055122828,7.789095266626722,10.245656081485919,0.5392450569203115
"호텔,레스토랑,레저",114090,GKL,15.3,11.01,0,55.33,36.22119815668203,43.87096774193549,35.29953917050691,6.728110599078341
"호텔,레스토랑,레저",019010,베뉴지,6.02,27.0,0,54.41,14.563106796116504,14.805825242718445,34.22330097087379,130.8252427184466
"섬유,의류,신발,호화품",081660,미스토홀딩스,54.16,11.39,5,79.88,-5.208333333333334,0.9114583333333334,6.901041666666667,7.03125
"섬유,의류,신발,호화품",383220,F&F,5.58,23.16,1,73.17,30.54662379421222,3.858520900321544,6.591639871382636,-2.572347266881029
"섬유,의류,신발,호화품",298540,더네이쳐홀딩스,2.69,2.0,0,62.14,35.714285714285715,9.89010989010989,-4.835164835164836,-18.13186813186813
IT서비스,018260,삼성에스디에스,13.17,7.89,1,71.3,42.59102455546147,41.06689246401355,48.26418289585097,27.5190516511431
IT서비스,039420,케이엘넷,7.2,15.0,0,60.94,21.93158953722334,23.138832997987926,15.694164989939638,10.865191146881289
IT서비스,035600,KG이니시스,2.89,10.0,0,58.84,32.61904761904762,24.285714285714285,21.071428571428573,19.88095238095238
